Name,Exclusive secs,Inclusive secs,% Exclusive,% Inclusive,Module,Source File,Source Line
"RtlUnsubscribeWnfNotificationWaitForCompletion",0,0.0090421,0,2.55087e-005,"ntdll","[unknown]",0
"NtdllDialogWndProc_W",0,0,0,0,"ntdll","[unknown]",0
"ZwWaitForSingleObject",0,0,0,0,"ntdll","[unknown]",0
"NtRemoveIoCompletion",384.74,384.74,1.08539,1.08539,"ntdll","[unknown]",0
"NtWaitForMultipleObjects",0,0,0,0,"ntdll","[unknown]",0
"ZwWaitForWorkViaWorkerFactory",0,0,0,0,"ntdll","[unknown]",0
"KiUserCallbackDispatcher",0.0050234,0.860831,1.41716e-005,0.0024285,"ntdll","[unknown]",0
"QString::startsWith",0.0048013,0.0048013,1.3545e-005,1.3545e-005,"Qt6Cored","[unknown]",0
"QMetaContainer::QMetaContainer",0.0040139,0.0040139,1.13236e-005,1.13236e-005,"Qt6Cored","[unknown]",0
"QVariant::QVariant",0.0050016,0.0050016,1.41101e-005,1.41101e-005,"Qt6Cored","[unknown]",0
"QtPrivate::sizedFree",0.0055005,0.0055005,1.55175e-005,1.55175e-005,"Qt6Cored","[unknown]",0
"QString::sliced",0.0047679,0.0047679,1.34508e-005,1.34508e-005,"Qt6Cored","[unknown]",0
"QThread::currentThread",0.0049794,0.0049794,1.40474e-005,1.40474e-005,"Qt6Cored","[unknown]",0
"QMetaObject::className",0.0051941,0.0051941,1.46531e-005,1.46531e-005,"Qt6Cored","[unknown]",0
"QObjectPrivate::get",0.0050023,0.0050023,1.4112e-005,1.4112e-005,"Qt6Cored","[unknown]",0
"QFileInfo::filePath",0.191934,7000.85,0.000541468,19.7501,"Qt6Cored","[unknown]",0
"QCss::Parser::testClass",0.0055236,0.0055236,1.55827e-005,1.55827e-005,"Qt6Guid","[unknown]",0
"QInputEvent::~QInputEvent",0.0061644,0.0061644,1.73904e-005,1.73904e-005,"Qt6Guid","[unknown]",0
"QWindow::d_func",0.0049798,0.0049798,1.40486e-005,1.40486e-005,"Qt6Guid","[unknown]",0
"QWindow::isTopLevel",0.0070466,0.0070466,1.98792e-005,1.98792e-005,"Qt6Guid","[unknown]",0
"QDistanceField::QDistanceField",0.0048918,0.0048918,1.38003e-005,1.38003e-005,"Qt6Guid","[unknown]",0
"QWindow::windowStateChanged",0.0049286,0.0049286,1.39041e-005,1.39041e-005,"Qt6Guid","[unknown]",0
"QOpenGLConfig::Gpu::equals",0.0048486,0.0048486,1.36784e-005,1.36784e-005,"Qt6Guid","[unknown]",0
"QTextList::tr",0.0059426,0.0059426,1.67647e-005,1.67647e-005,"Qt6Guid","[unknown]",0
"QBrush::~QBrush",0.0101954,0.0101954,2.87623e-005,2.87623e-005,"Qt6Guid","[unknown]",0
"QInternalMimeData::tr",0.0059515,0.0059515,1.67898e-005,1.67898e-005,"Qt6Guid","[unknown]",0
"QHighDpiScaling::isActive",0.0050394,0.0050394,1.42167e-005,1.42167e-005,"Qt6Guid","[unknown]",0
"QTextCharFormat::setFontLetterSpacingType",0.139973,3495.22,0.000394878,9.8604,"Qt6Guid","[unknown]",0
"QNetworkInterface::interfaceNameFromIndex",0,0.0048243,0,1.36099e-005,"Qt6Networkd","[unknown]",0
"qt_plugin_query_metadata_v2",0.0047851,0.0047851,1.34993e-005,1.34993e-005,"qwindowsd","[unknown]",0
"qt_plugin_instance",0.0426392,1.01613,0.00012029,0.00286661,"qwindowsd","[unknown]",0
"QAbstractItemDelegate::qt_metacast",0.004997,0.004997,1.40971e-005,1.40971e-005,"Qt6Widgetsd","[unknown]",0
"QGraphicsItem::mapFromItem",0.0069699,0.0069699,1.96628e-005,1.96628e-005,"Qt6Widgetsd","[unknown]",0
"QGraphicsItem::update",0.0061266,0.0061266,1.72838e-005,1.72838e-005,"Qt6Widgetsd","[unknown]",0
"QLineEdit::`default constructor closure'",0.165527,3495.23,0.000466969,9.86041,"Qt6Widgetsd","[unknown]",0
"cgetws",0,0,0,0,"ucrtbased","[unknown]",0
"putwch_nolock",0,0,0,0,"ucrtbased","[unknown]",0
"calloc_base",0,0,0,0,"ucrtbased","[unknown]",0
"free_dbg",0,0,0,0,"ucrtbased","[unknown]",0
"malloc_dbg",0,0,0,0,"ucrtbased","[unknown]",0
"free",0.0049911,0.0049911,1.40804e-005,1.40804e-005,"ucrtbased","[unknown]",0
"malloc",0.0190689,0.0190689,5.37954e-005,5.37954e-005,"ucrtbased","[unknown]",0
"set_new_handler",0,0,0,0,"ucrtbased","[unknown]",0
"query_new_mode",0,0,0,0,"ucrtbased","[unknown]",0
"recalloc",0,0,0,0,"ucrtbased","[unknown]",0
"fabs",0.0051418,0.0051418,1.45056e-005,1.45056e-005,"ucrtbased","[unknown]",0
"X509at_get_attr_by_OBJ",0.0048243,0.0048243,1.36099e-005,1.36099e-005,"libcrypto-3-x64","[unknown]",0
"qt_plugin_instance",0,0.0048243,0,1.36099e-005,"qopensslbackendd","[unknown]",0
"SSL_sendfile",0,0.0048243,0,1.36099e-005,"libssl-3-x64","[unknown]",0
"qt_plugin_instance",0,0.0169456,0,4.78054e-005,"qmodernwindowsstyled","[unknown]",0
"TextInputServerCreate",0,0.0059888,0,1.68951e-005,"TextInputFramework","[unknown]",0
